Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Gross Rents,Year
12810,724.0,46.5,57500.0,25551.0,78.0,10.773480662983426,675.0,2015
12811,67.0,45.9,-666666666.0,11590.0,0.0,0.0,-666666666.0,2015
12812,58.0,64.1,49583.0,23600.0,0.0,0.0,-666666666.0,2015
12814,1282.0,46.4,58176.0,35508.0,51.0,3.9781591263650546,920.0,2015
12815,1103.0,54.2,60458.0,30685.0,159.0,14.41523118766999,698.0,2015
12816,4417.0,46.9,50417.0,26988.0,568.0,12.859406837219833,794.0,2015
12817,2330.0,45.2,59861.0,26976.0,308.0,13.218884120171674,695.0,2015
12819,309.0,55.6,43839.0,23297.0,42.0,13.592233009708737,,2015
12821,2816.0,35.6,34000.0,3450.0,0.0,0.0,986.0,2015
12822,6277.0,40.4,52578.0,24178.0,1001.0,15.947108491317508,813.0,2015
12823,369.0,54.7,82639.0,26705.0,82.0,22.22222222222222,-666666666.0,2015
12824,1114.0,55.7,61650.0,38444.0,27.0,2.423698384201077,1235.0,2015
12827,3800.0,43.6,62917.0,25545.0,256.0,6.7368421052631575,926.0,2015
12828,9363.0,44.2,51250.0,28026.0,1025.0,10.947345936131581,855.0,2015
12831,17727.0,40.7,78505.0,32984.0,730.0,4.118012071980594,1125.0,2015
12832,6618.0,45.0,43918.0,22318.0,1157.0,17.48262314898761,678.0,2015
12833,4183.0,47.9,65898.0,32373.0,367.0,8.773607458761655,928.0,2015
12834,6104.0,44.2,56104.0,30289.0,317.0,5.193315858453473,737.0,2015
12835,2344.0,51.2,51148.0,25733.0,231.0,9.85494880546075,827.0,2015
12836,682.0,55.4,61739.0,30614.0,61.0,8.944281524926685,813.0,2015
12837,941.0,44.6,45446.0,22653.0,46.0,4.888416578108395,918.0,2015
12838,559.0,49.3,56250.0,31448.0,43.0,7.6923076923076925,723.0,2015
12839,13740.0,37.4,44350.0,21932.0,2512.0,18.282387190684133,846.0,2015
12841,100.0,68.2,27500.0,42708.0,0.0,0.0,-666666666.0,2015
12842,730.0,48.8,37321.0,33690.0,100.0,13.698630136986301,516.0,2015
12843,539.0,48.4,38393.0,22477.0,88.0,16.3265306122449,-666666666.0,2015
12844,263.0,53.0,60000.0,34329.0,38.0,14.448669201520913,-666666666.0,2015
12845,4792.0,51.5,66710.0,38335.0,508.0,10.601001669449081,938.0,2015
12846,3265.0,44.0,53112.0,24880.0,310.0,9.494640122511486,957.0,2015
12847,389.0,53.3,62917.0,39498.0,39.0,10.025706940874036,825.0,2015
12849,623.0,37.8,70263.0,23449.0,57.0,9.149277688603531,-666666666.0,2015
12850,3143.0,41.1,74622.0,33741.0,267.0,8.495068405981547,1442.0,2015
12851,257.0,57.1,48036.0,25082.0,48.0,18.67704280155642,625.0,2015
12852,447.0,61.3,46094.0,26045.0,45.0,10.06711409395973,625.0,2015
12853,1228.0,55.8,38906.0,19898.0,238.0,19.381107491856678,905.0,2015
12855,196.0,52.8,44583.0,24458.0,18.0,9.183673469387756,595.0,2015
12857,602.0,44.6,49397.0,23297.0,48.0,7.973421926910299,883.0,2015
12859,2297.0,37.6,55776.0,28881.0,318.0,13.844144536351763,1302.0,2015
12860,794.0,34.5,38043.0,16475.0,395.0,49.74811083123426,-666666666.0,2015
12861,742.0,51.0,63125.0,38021.0,62.0,8.355795148247978,907.0,2015
12862,5.0,-666666666.0,-666666666.0,,0.0,0.0,-666666666.0,2015
12863,690.0,44.6,69125.0,32134.0,13.0,1.8840579710144927,873.0,2015
12864,37.0,65.8,-666666666.0,28395.0,8.0,21.62162162162162,-666666666.0,2015
12865,3833.0,46.7,57000.0,24995.0,605.0,15.783981215757892,812.0,2015
12866,37050.0,41.2,70515.0,40229.0,2428.0,6.553306342780027,1053.0,2015
12870,836.0,50.9,55938.0,32013.0,56.0,6.698564593301436,691.0,2015
12871,4284.0,40.2,64653.0,33067.0,242.0,5.648926237161532,861.0,2015
12872,41.0,49.8,28750.0,8980.0,6.0,14.634146341463415,-666666666.0,2015
12873,695.0,50.6,48750.0,28567.0,68.0,9.784172661870503,-666666666.0,2015
12874,142.0,68.8,69583.0,53814.0,4.0,2.816901408450704,-666666666.0,2015
12878,774.0,52.1,50500.0,24117.0,118.0,15.24547803617571,790.0,2015
12883,5010.0,46.4,52936.0,27875.0,874.0,17.44510978043912,823.0,2015
12884,293.0,47.5,46250.0,23802.0,44.0,15.017064846416382,944.0,2015
12885,4574.0,45.0,53232.0,26528.0,722.0,15.784871010056843,733.0,2015
12887,4863.0,40.2,47440.0,22858.0,1045.0,21.488792926177258,803.0,2015
12901,33155.0,35.0,43642.0,23540.0,5962.0,17.982204795656763,738.0,2015
12903,1222.0,46.2,50583.0,31503.0,84.0,6.873977086743044,1159.0,2015
12910,2167.0,37.7,56447.0,19353.0,235.0,10.844485463774804,488.0,2015
12911,43.0,54.3,-666666666.0,30888.0,0.0,0.0,-666666666.0,2015
12912,2124.0,41.8,50714.0,26699.0,159.0,7.4858757062146895,662.0,2015
12913,1330.0,47.6,55761.0,30334.0,110.0,8.270676691729323,625.0,2015
12914,1033.0,31.8,50208.0,22148.0,191.0,18.489835430784122,698.0,2015
12916,2044.0,44.2,55865.0,29750.0,419.0,20.499021526418787,666.0,2015
12917,1139.0,46.9,55417.0,28774.0,156.0,13.69622475856014,697.0,2015
12918,2145.0,43.1,58906.0,28913.0,207.0,9.65034965034965,857.0,2015
12919,2936.0,41.9,42226.0,21366.0,515.0,17.540871934604905,675.0,2015
12920,2720.0,43.1,50150.0,22317.0,541.0,19.889705882352942,685.0,2015
12921,2394.0,45.6,63750.0,31089.0,137.0,5.722639933166249,852.0,2015
12922,37.0,56.9,53125.0,28581.0,4.0,10.81081081081081,-666666666.0,2015
12923,637.0,42.3,40375.0,21225.0,114.0,17.896389324960754,625.0,2015
12924,135.0,33.0,39479.0,16321.0,18.0,13.333333333333334,-666666666.0,2015
12926,2015.0,44.2,50500.0,25920.0,251.0,12.456575682382134,581.0,2015
12927,232.0,61.0,43750.0,28243.0,34.0,14.655172413793103,-666666666.0,2015
12928,1882.0,44.9,44669.0,22748.0,177.0,9.404888416578109,700.0,2015
12929,3864.0,38.3,45795.0,5331.0,139.0,3.5973084886128364,643.0,2015
12930,815.0,37.9,45357.0,21700.0,154.0,18.895705521472394,767.0,2015
12932,1374.0,51.4,46875.0,24986.0,189.0,13.755458515283843,630.0,2015
12933,12.0,23.5,-666666666.0,,0.0,0.0,-666666666.0,2015
12934,1077.0,37.1,38393.0,19686.0,307.0,28.505106778087278,729.0,2015
12935,1571.0,43.5,48514.0,28140.0,178.0,11.330362826225334,746.0,2015
12936,543.0,45.6,60147.0,30183.0,65.0,11.970534069981584,,2015
12937,1655.0,42.0,40719.0,21208.0,322.0,19.45619335347432,755.0,2015
12939,219.0,37.6,54688.0,30292.0,17.0,7.762557077625571,1396.0,2015
12941,1487.0,45.0,61250.0,26352.0,126.0,8.47343644922663,1008.0,2015
12942,839.0,51.6,47050.0,31955.0,105.0,12.514898688915375,,2015
